Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C14, C17, C19, C22, C24, C27, C3, C5, C7, C9",0603,12,100n,
"C10, C11, C15, C16, C20, C21, C25, C26",0805,8,10u,
"C13, C18, C23, C28",0603,4,82n,
"C2, C4, C6, C8",0603,4,10n,
"D1, D2, D3, D4",SOT-23-3,4,BZX84Cxx,
"IC1, IC2, IC3, IC4",SOT95P280X110-6N,4,TPS54201DDCR,
"J1, J2, J3",PinHeader_2x06_P2.54mm_PMODPeriph2B,3,PMOD,C492434
J4,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J5,TerminalBlock_Altech_AK300-2_P5.00mm,1,Screw_Terminal_01x02,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J7, J8",Altech_AK100_1x04_P5.00mm,2,Screw_Terminal_01x04,
"L1, L2, L3, L4",IND_BOURNS_SRR5028,4,150uH,
LED1,L1MCRGB3080500MP0,1,L1MC-RGB3080500MP0,
"R1, R2, R6, R7",0603,4,220,
"R10, R11, R12, R3, R4, R5, R8, R9",0603,8,0,
"R13, R17, R21, R25",0603,4,910,
"R14, R18, R22, R26",0805,4,1.33,
"R15, R19, R23, R27",0603,4,100k,
"R16, R20, R24, R28",0603,4,54.9k,
"TP1, TP10, TP11, TP13, TP14, TP15, TP2, TP3, TP5, TP6, TP7, TP9",TestPoint_Keystone_5015_Micro_Mini,12,TestPoint,
"U1, U2, U3, U4",SOT95P275X110-5N,4,MC74VHC1GT50DBVT1G,MC74VHC1GT50DTT1
