Designator,Mid X,Mid Y,Rotation,Layer
C1,92.77,-57.6602,180.0,top
C10,113.2,-47.1,270.0,top
C11,102.0,-47.0,270.0,top
C12,104.35,-46.75,270.0,top
C13,102.6,-50.7,0.0,top
C14,108.0,-72.25,180.0,top
C15,113.0,-67.65,270.0,top
C16,101.8,-67.55,270.0,top
C17,104.15,-67.3,270.0,top
C18,102.4,-71.25,0.0,top
C19,108.0,-94.45,180.0,top
C2,87.4,-60.8,270.0,top
C20,113.0,-89.85,270.0,top
C21,101.8,-89.75,270.0,top
C22,104.15,-89.5,270.0,top
C23,102.4,-93.45,0.0,top
C24,108.1,-116.65,180.0,top
C25,113.1,-112.05,270.0,top
C26,101.9,-111.95,270.0,top
C27,104.25,-111.7,270.0,top
C28,102.5,-115.65,0.0,top
C3,92.9027,-75.0579,180.0,top
C4,87.1152,-78.7079,270.0,top
C5,92.8952,-91.3098,180.0,top
C6,87.3652,-94.5329,270.0,top
C7,93.1802,-107.0102,180.0,top
C8,87.6802,-110.0727,270.0,top
C9,108.2,-51.7,180.0,top
D1,84.1,-61.1,270.0,top
D2,83.8402,-79.0579,270.0,top
D3,84.0952,-94.8473,270.0,top
D4,84.3802,-110.5102,270.0,top
IC1,108.0,-47.2,270.0,top
IC2,107.8,-67.75,270.0,top
IC3,107.8,-89.95,270.0,top
IC4,107.9,-112.15,270.0,top
J1,68.73,-55.71,180.0,top
J2,68.73,-101.43,180.0,top
J3,68.73,-78.57,180.0,top
J4,77.5,-81.415,0.0,top
J5,81.735,-43.5,0.0,top
J6,91.6,-42.695,0.0,top
J7,133.8,-115.5,0.0,top
J8,133.8,-40.9,180.0,top
L1,109.9,-40.2,0.0,top
L2,109.7,-60.75,0.0,top
L3,109.7,-82.95,0.0,top
L4,109.8,-105.15,0.0,top
LED1,137.232,-78.6,270.0,top
R1,84.1,-57.7,0.0,top
R10,124.6,-52.9,0.0,top
R11,124.6875,-55.4,0.0,top
R12,124.7125,-66.8,0.0,top
R13,105.6,-52.0,270.0,top
R14,112.7426,-50.9,180.0,top
R15,99.3,-51.725,90.0,top
R16,99.325,-48.3,90.0,top
R17,105.4,-72.55,270.0,top
R18,112.5426,-71.45,180.0,top
R19,99.1,-72.275,90.0,top
R2,83.8402,-75.4579,0.0,top
R20,99.125,-68.85,90.0,top
R21,105.4,-94.75,270.0,top
R22,112.5426,-93.65,180.0,top
R23,99.1,-94.475,90.0,top
R24,99.125,-91.05,90.0,top
R25,105.5,-116.95,270.0,top
R26,112.6426,-115.85,180.0,top
R27,99.2,-116.675,90.0,top
R28,99.225,-113.25,90.0,top
R3,124.75,-105.1,0.0,top
R4,124.75,-102.7,0.0,top
R5,124.7,-68.9,0.0,top
R6,84.0952,-91.2098,0.0,top
R7,84.4802,-106.6727,0.0,top
R8,124.75,-83.0,0.0,top
R9,124.75,-85.3,0.0,top
TP1,104.2,-39.6,90.0,top
TP10,109.875,-96.85,180.0,top
TP11,101.9,-97.5,180.0,top
TP13,104.1,-104.55,90.0,top
TP14,109.975,-119.05,180.0,top
TP15,102.0,-119.7,180.0,top
TP2,110.075,-54.1,180.0,top
TP3,102.1,-54.75,180.0,top
TP5,104.0,-60.15,90.0,top
TP6,109.875,-74.65,180.0,top
TP7,101.9,-75.3,180.0,top
TP9,104.0,-82.35,90.0,top
U1,92.57,-60.6602,0.0,top
U2,92.7402,-78.2579,0.0,top
U3,92.8752,-94.7,0.0,top
U4,93.0102,-110.2704,0.0,top
